Title,Location,Link,ImportTime
Officer Client Services - International Wealth & Premier Banking,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774608894716,2026-04-17T08:21:05.941Z
Card Authorization & Portfolio Services Officer,Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774608422965,2026-04-17T08:21:05.941Z
Part Time CSO(Wealth Centre),Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774608327231,2026-04-17T08:21:05.941Z
Insurance Tech Specialist,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774608014807,2026-04-17T08:21:05.941Z
Software Engineer Commercial Banking Technology  - Hang Seng  Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607952097,2026-04-17T08:21:05.941Z
Senior Wealth and Personal Banking Executive - Contact Centre and Remote Channel,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607823435,2026-04-17T08:21:05.941Z
Senior Investment Consultant - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607798192,2026-04-17T08:21:05.941Z
Digital Branch Service Executive - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607798152,2026-04-17T08:21:05.941Z
Branch Service Executive (Teller),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607798112,2026-04-17T08:21:05.941Z
Universal Banker - Hong Kong Business,Tsim Sha Tsui  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607745056,2026-04-17T08:21:05.941Z
Outreach Insurance Specialist - Hong Kong Business,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607745075,2026-04-17T08:21:05.941Z
Universal Banker MPF - Hong Kong Business,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607745004,2026-04-17T08:21:05.941Z
Part Time Customer Service Officer - Wealth and Personal Banking,Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607744890,2026-04-17T08:21:05.941Z
Personal Banking Executive (Night Shift) Premier Relationship - Contact Centre and Remote Channel,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607744895,2026-04-17T08:21:05.941Z
Mortgage Specialist / Senior Mortgage Specialist -Hong Kong Business,Shatin  New Territories  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607744878,2026-04-17T08:21:05.941Z
Mobile Insurance Specialist - Hong Kong Business 財務策劃副總裁  财富管理及个人银行业务,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607744853,2026-04-17T08:21:05.941Z
Mortgage Service Officer / Senior Mortgage Service Officer - Hong Kong Business,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607744656,2026-04-17T08:21:05.941Z
Personal Banking Executive (Business Relationship) Premier - Contact Centre and Remote Channel,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607744307,2026-04-17T08:21:05.941Z
Executive Investment Consultant - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607742533,2026-04-17T08:21:05.941Z
Wealth Coach - Hang Seng Bank (HK),Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607742297,2026-04-17T08:21:05.941Z
Prestige Private Investment Consultant - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607739554,2026-04-17T08:21:05.941Z
Prestige Private Insurance Sales - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607739476,2026-04-17T08:21:05.941Z
Senior Insurance Sales - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607739474,2026-04-17T08:21:05.941Z
Investment Consultant - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607739312,2026-04-17T08:21:05.941Z
Relationship Support Officer- Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607727111,2026-04-17T08:21:05.941Z
Personal Banking Executive Premier Relationship - Contact Centre and Remote Channel,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607726960,2026-04-17T08:21:05.941Z
Wealth Investment Product Expert 投資顧問 - Hong Kong Business,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607725321,2026-04-17T08:21:05.941Z
Insurance Product Expert - Hong Kong Business,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607725242,2026-04-17T08:21:05.941Z
Senior Product Risk Actuary-Risk and Compliance,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607725249,2026-04-17T08:21:05.941Z
Executive Insurance Product Expert II - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607714967,2026-04-17T08:21:05.941Z
Executive Insurance Product Expert I - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607714892,2026-04-17T08:21:05.941Z
